Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
43238.4453, 43238.45, 5.60, 6.53, 56.191, OUT, F0
32107.8477, 32107.85, -1.59, -4.78, 83.127, OUT, F1
29707.9121, 29707.91, -0.89, -5.36, 64.393, OUT, F1
27862.3457, 27862.35, 3.08, -5.39, 87.315, OUT, F0
27679.4492, 27679.45, 0.00, -5.36, 64.393, OUT, F1
26564.3750, 26564.38, 3.24, 6.48, 80.970, OUT, F2
26522.4180, 26522.42, 3.24, -5.67, 80.970, OUT, F2
26335.2539, 26335.25, 0.00, -5.89, 93.323, OUT, F2
26198.3867, 26198.39, 3.85, -4.62, 87.315, OUT, F0
24707.0449, 24707.04, -0.80, -3.98, 83.127, OUT, F1
24066.1543, 24066.15, 4.05, -5.67, 80.970, OUT, F2
23982.7480, 23982.75, 3.19, 4.78, 83.127, OUT, F1
23639.9258, 23639.93, 5.22, 3.73, 91.354, OUT, F1
23627.3594, 23627.36, 1.59, 5.58, 83.127, OUT, F1
23392.5723, 23392.57, 0.80, -5.58, 83.127, OUT, F1
23142.3066, 23142.31, -0.67, -6.03, 106.304, OUT, F0
23008.6328, 23008.63, -2.21, -2.21, 93.323, OUT, F1
22986.3457, 22986.35, -6.85, 3.74, 114.872, OUT, F2
22491.0078, 22491.01, -4.24, -4.84, 118.164, OUT, F0
22291.2266, 22291.23, 5.01, -1.67, 139.497, OUT, F2
21979.6523, 21979.65, -2.27, -5.30, 89.352, OUT, F2
21122.3184, 21122.32, 0.81, 4.86, 80.970, OUT, F2
21101.8359, 21101.84, -2.38, 2.38, 126.102, OUT, F1
20507.8477, 20507.85, 7.47, 3.73, 56.191, OUT, F0
20502.1289, 20502.13, -2.79, 0.00, 139.497, OUT, F2
20332.5215, 20332.52, 0.86, -6.04, 71.858, OUT, F2
20184.8672, 20184.87, -0.74, 5.89, 93.323, OUT, F1
20002.6973, 20002.70, 1.62, 5.67, 80.970, OUT, F2
19290.0234, 19290.02, -6.75, 3.07, 116.527, OUT, F1
19097.2988, 19097.30, 2.68, 4.69, 106.304, OUT, F0
19025.5879, 19025.59, 0.00, -1.87, 114.872, OUT, F2
18977.6777, 18977.68, 2.43, 4.86, 80.970, OUT, F2
18920.8984, 18920.90, 0.67, -5.36, 106.304, OUT, F0
18572.7246, 18572.72, 6.79, 5.09, 74.217, OUT, F0
18522.9375, 18522.94, -3.34, -1.67, 139.497, OUT, F2
18386.3750, 18386.38, 7.47, 2.80, 56.191, OUT, F0
18380.5645, 18380.56, 0.00, 4.55, 89.352, OUT, F2
18378.2012, 18378.20, -5.78, 3.85, 111.506, OUT, F0
18374.6836, 18374.68, -9.31, -2.33, 132.184, OUT, F0
