, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 50.506, 50.488, 51.135, 50.704, 50.704, 50.704, 50.255, 50.890, 50.878, 45.366, 45.988, 46.157, 46.285, 46.285, 46.285, 46.530, 46.561, 47.307, 47.344, 48.015, 48.193, 48.208, 48.208, 48.208, 48.449, 48.439, 49.157, 19.156, 19.110, 22.243, 19.669, 19.669, 19.669, 17.102, 20.178, 20.143, 38.168, 38.160, 40.096, 39.095, 39.095, 39.095, 38.053, 40.020, 39.991, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 49.452, 49.494, 50.321, 49.632, 49.632, 49.632, 48.829, 49.769, 49.763, 44.004, 44.647, 44.968, 44.983, 44.983, 44.983, 45.129, 45.275, 45.970, 46.092, 46.716, 47.051, 46.977, 46.977, 46.977, 47.040, 47.213, 47.941, 16.559, 16.409, 19.336, 16.938, 16.938, 16.938, 14.549, 17.426, 17.302, 35.894, 35.820, 38.050, 37.126, 37.126, 37.126, 36.158, 38.120, 38.112, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 48.895, 48.877, 49.901, 49.116, 49.116, 49.116, 48.068, 49.212, 49.290, 43.264, 43.893, 44.235, 44.270, 44.270, 44.270, 44.362, 44.560, 45.216, 45.395, 46.008, 46.333, 46.312, 46.312, 46.312, 46.260, 46.516, 47.229, 15.385, 15.188, 18.076, 15.685, 15.685, 15.685, 13.395, 16.170, 16.042, 34.642, 34.653, 36.836, 35.964, 35.964, 35.964, 35.054, 37.095, 37.096, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 48.451, 48.433, 49.476, 48.727, 48.727, 48.727, 47.553, 48.883, 48.967, 42.733, 43.396, 43.718, 43.769, 43.769, 43.769, 43.816, 44.060, 44.702, 44.887, 45.469, 45.846, 45.851, 45.851, 45.851, 45.746, 46.076, 46.710, 14.585, 14.383, 17.222, 14.871, 14.871, 14.871, 12.608, 15.357, 15.233, 33.833, 33.887, 35.872, 35.080, 35.080, 35.080, 34.193, 36.361, 36.345, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 48.062, 48.038, 49.182, 48.367, 48.367, 48.367, 47.169, 48.583, 48.637, 42.290, 42.996, 43.297, 43.376, 43.376, 43.376, 43.390, 43.672, 44.338, 44.474, 45.097, 45.448, 45.485, 45.485, 45.485, 45.285, 45.773, 46.359, 13.952, 13.779, 16.607, 14.256, 14.256, 14.256, 12.021, 14.732, 14.622, 33.242, 33.320, 35.161, 34.388, 34.388, 34.388, 33.490, 35.747, 35.695, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 47.720, 47.720, 48.925, 48.014, 48.014, 48.014, 46.852, 48.337, 48.397, 41.956, 42.623, 42.953, 43.064, 43.064, 43.064, 43.068, 43.363, 44.029, 44.128, 44.730, 45.123, 45.160, 45.160, 45.160, 44.976, 45.506, 46.082, 13.433, 13.282, 16.098, 13.761, 13.761, 13.761, 11.554, 14.241, 14.151, 32.747, 32.845, 34.574, 33.824, 33.824, 33.824, 32.942, 35.168, 35.103, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 47.427, 47.415, 48.673, 47.720, 47.720, 47.720, 46.552, 48.044, 48.086, 41.653, 42.316, 42.638, 42.768, 42.768, 42.768, 42.792, 43.110, 43.777, 43.845, 44.432, 44.835, 44.898, 44.898, 44.898, 44.730, 45.270, 45.841, 13.018, 12.864, 15.656, 13.353, 13.353, 13.353, 11.154, 13.830, 13.741, 32.327, 32.450, 34.054, 33.355, 33.355, 33.355, 32.496, 34.642, 34.588, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 47.121, 47.145, 48.409, 47.469, 47.469, 47.469, 46.282, 47.738, 47.804, 41.377, 42.059, 42.384, 42.492, 42.492, 42.492, 42.535, 42.862, 43.549, 43.541, 44.164, 44.568, 44.641, 44.641, 44.641, 44.521, 45.034, 45.647, 12.648, 12.520, 15.273, 12.983, 12.983, 12.983, 10.800, 13.466, 13.388, 31.976, 32.119, 33.626, 32.946, 32.946, 32.946, 32.093, 34.178, 34.140, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 46.870, 46.876, 48.266, 47.265, 47.265, 47.265, 46.013, 47.523, 47.583, 41.134, 41.812, 42.141, 42.273, 42.273, 42.273, 42.327, 42.630, 43.343, 43.300, 43.934, 44.343, 44.447, 44.447, 44.447, 44.364, 44.835, 45.437, 12.342, 12.212, 14.937, 12.663, 12.663, 12.663, 10.495, 13.150, 13.086, 31.660, 31.831, 33.267, 32.596, 32.596, 32.596, 31.745, 33.764, 33.742, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 46.678, 46.648, 48.080, 47.037, 47.037, 47.037, 45.845, 47.325, 47.379, 40.924, 41.591, 41.898, 42.061, 42.061, 42.061, 42.137, 42.452, 43.143, 43.043, 43.740, 44.091, 44.243, 44.243, 44.243, 44.196, 44.641, 45.265, 12.056, 11.922, 14.644, 12.375, 12.375, 12.375, 10.215, 12.863, 12.794, 31.381, 31.562, 32.950, 32.273, 32.273, 32.273, 31.442, 33.384, 33.385, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
