Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
32472.9551, 32472.96, -1.41, -4.22, 122.974, OUT, F0
30441.8574, 30441.86, -3.30, 4.72, 124.545, OUT, F0
27350.7813, 27350.78, -5.19, -3.78, 124.545, OUT, F0
27292.7773, 27292.78, -1.42, 0.94, 124.545, OUT, F1
26938.0664, 26938.07, 4.55, -3.54, 97.168, OUT, F2
25728.1563, 25728.16, 1.42, -1.89, 124.545, OUT, F2
25698.7051, 25698.71, -1.89, 3.30, 124.545, OUT, F0
24853.1895, 24853.19, -6.10, -4.22, 122.974, OUT, F0
24849.6855, 24849.69, -3.30, 4.72, 124.545, OUT, F1
24319.2930, 24319.29, 0.00, 0.47, 124.545, OUT, F2
24288.6465, 24288.65, -4.25, -3.30, 124.545, OUT, F0
23999.8047, 23999.80, -1.88, 3.75, 122.974, OUT, F1
23942.1641, 23942.16, -0.50, -5.01, 99.047, OUT, F0
23889.7754, 23889.78, -1.00, 5.52, 99.047, OUT, F1
23714.5234, 23714.52, -3.28, -3.28, 122.974, OUT, F0
23605.1953, 23605.20, -0.94, -1.88, 122.974, OUT, F2
22765.2793, 22765.28, -4.69, -2.34, 122.974, OUT, F2
22740.3574, 22740.36, -3.28, 1.88, 122.974, OUT, F2
22483.3359, 22483.34, 1.42, 1.42, 124.545, OUT, F2
22391.8164, 22391.82, 6.52, -3.01, 99.047, OUT, F1
22274.4805, 22274.48, 4.69, 3.75, 122.974, OUT, F0
22224.0391, 22224.04, -0.94, 3.75, 122.974, OUT, F0
22179.3164, 22179.32, -1.42, 3.30, 124.545, OUT, F1
21817.2012, 21817.20, -4.22, 2.34, 122.974, OUT, F2
21394.9355, 21394.94, 3.92, -5.60, 78.769, OUT, F2
20994.3574, 20994.36, -2.66, -5.31, 87.315, OUT, F2
20827.0059, 20827.01, -3.75, 3.75, 122.974, OUT, F0
20249.3652, 20249.37, -3.75, -1.41, 122.974, OUT, F1
19431.3320, 19431.33, -6.61, -0.47, 124.545, OUT, F1
19429.9355, 19429.94, 4.72, 1.89, 124.545, OUT, F2
19082.3008, 19082.30, -0.47, 2.83, 124.545, OUT, F1
18822.0957, 18822.10, -3.78, 4.25, 124.545, OUT, F2
18760.3242, 18760.32, -4.51, -4.51, 99.047, OUT, F2
18743.8809, 18743.88, -2.66, -4.25, 87.315, OUT, F1
18715.9082, 18715.91, -1.89, 1.42, 124.545, OUT, F2
18380.6367, 18380.64, -3.28, -2.34, 122.974, OUT, F2
18353.9707, 18353.97, -3.30, -0.47, 124.545, OUT, F1
18304.0801, 18304.08, -6.61, -1.42, 124.545, OUT, F1
18220.3770, 18220.38, 0.47, -0.47, 124.545, OUT, F1
18193.1445, 18193.14, 1.89, 1.89, 124.545, OUT, F0
18125.3848, 18125.38, 5.52, 3.01, 99.047, OUT, F1
18088.7637, 18088.76, 0.00, 3.75, 122.974, OUT, F0
17972.2891, 17972.29, -4.51, -3.51, 99.047, OUT, F2
17856.9336, 17856.93, 4.72, -4.25, 124.545, OUT, F1
17817.8359, 17817.84, 0.47, 2.83, 124.545, OUT, F1
17723.8086, 17723.81, -3.28, 2.34, 122.974, OUT, F0
17712.6426, 17712.64, -0.47, 0.47, 124.545, OUT, F1
17702.4941, 17702.49, -5.16, 2.81, 122.974, OUT, F0
17664.4180, 17664.42, -2.51, -1.00, 99.047, OUT, F1
17663.0273, 17663.03, -0.51, 4.55, 97.168, OUT, F1
17584.7617, 17584.76, -3.78, 1.89, 124.545, OUT, F0
17433.6660, 17433.67, -1.01, -4.04, 97.168, OUT, F2
17428.1797, 17428.18, 3.75, -0.94, 122.974, OUT, F2
17167.8379, 17167.84, 0.00, -4.22, 122.974, OUT, F0
17040.8945, 17040.89, 0.00, -5.01, 99.047, OUT, F2
17011.8184, 17011.82, 3.23, -5.38, 85.241, OUT, F0
17005.7129, 17005.71, 0.56, -6.16, 78.769, OUT, F1
16912.2363, 16912.24, 5.66, -3.78, 124.545, OUT, F1
16894.3340, 16894.33, -1.42, 0.94, 124.545, OUT, F2
16890.0684, 16890.07, 1.89, -1.89, 124.545, OUT, F1
