Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.100, 100.000, 100.000, 49.250, 18.286, 48.125, 38.176, 46.015
0.200, 100.000, 100.000, 48.148, 15.867, 47.239, 36.334, 45.094
0.300, 100.000, 100.000, 47.446, 14.743, 46.737, 35.219, 44.534
0.400, 100.000, 100.000, 46.933, 13.956, 46.349, 34.388, 44.082
0.500, 100.000, 100.000, 46.511, 13.368, 45.946, 33.722, 43.670
0.600, 100.000, 100.000, 46.213, 12.894, 45.605, 33.193, 43.314
0.700, 100.000, 100.000, 45.933, 12.497, 45.296, 32.743, 42.986
0.800, 100.000, 100.000, 45.653, 12.130, 45.018, 32.347, 42.714
0.900, 100.000, 100.000, 45.355, 11.824, 44.788, 32.004, 42.489
1.000, 100.000, 100.000, 45.147, 11.522, 44.547, 31.686, 42.271
1.100, 100.000, 100.000, 44.915, 11.278, 44.311, 31.395, 42.049
1.200, 100.000, 100.000, 44.712, 11.045, 44.159, 31.124, 41.894
1.300, 100.000, 100.000, 44.510, 10.828, 43.981, 30.871, 41.719
1.400, 100.000, 100.000, 44.343, 10.627, 43.824, 30.640, 41.550
1.500, 100.000, 100.000, 44.171, 10.442, 43.693, 30.423, 41.418
1.600, 100.000, 100.000, 44.040, 10.258, 43.520, 30.221, 41.263
1.700, 100.000, 100.000, 43.873, 10.096, 43.368, 30.034, 41.136
1.800, 100.000, 100.000, 43.736, 9.950, 43.263, 29.862, 41.027
1.900, 100.000, 100.000, 43.599, 9.782, 43.143, 29.704, 40.921
2.000, 100.000, 100.000, 43.396, 9.633, 43.007, 29.560, 40.802
2.100, 100.000, 100.000, 43.277, 9.503, 42.923, 29.422, 40.703
2.200, 100.000, 100.000, 43.176, 9.382, 42.839, 29.296, 40.629
2.300, 100.000, 100.000, 43.021, 9.254, 42.734, 29.173, 40.528
2.400, 100.000, 100.000, 42.896, 9.144, 42.672, 29.056, 40.439
2.500, 100.000, 100.000, 42.759, 9.024, 42.583, 28.944, 40.353
2.600, 100.000, 100.000, 42.646, 8.921, 42.493, 28.833, 40.279
2.700, 100.000, 100.000, 42.539, 8.800, 42.441, 28.728, 40.213
2.800, 100.000, 100.000, 42.414, 8.712, 42.347, 28.628, 40.128
2.900, 100.000, 100.000, 42.277, 8.609, 42.273, 28.529, 40.038
3.000, 100.000, 100.000, 42.200, 8.517, 42.211, 28.431, 39.967
3.100, 100.000, 100.000, 42.075, 8.427, 42.132, 28.333, 39.891
3.200, 100.000, 100.000, 41.932, 8.338, 42.069, 28.236, 39.827
3.300, 100.000, 100.000, 41.830, 8.256, 42.001, 28.141, 39.751
3.400, 100.000, 100.000, 41.753, 8.174, 41.917, 28.049, 39.685
3.500, 100.000, 100.000, 41.610, 8.095, 41.854, 27.962, 39.597
3.600, 100.000, 100.000, 41.515, 8.026, 41.797, 27.880, 39.531
