Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
21456.8984, 21456.90, 0.94, 5.17, 85.241, OUT, F1
20564.8242, 20564.82, 2.35, -5.17, 89.352, OUT, F0
20333.1309, 20333.13, 4.70, -4.70, 99.047, OUT, F2
19542.4023, 19542.40, -5.17, -4.23, 109.793, OUT, F2
19282.3164, 19282.32, 4.70, 3.76, 85.241, OUT, F1
18771.8301, 18771.83, 3.29, 4.23, 78.769, OUT, F1
18588.8672, 18588.87, 2.35, -5.64, 80.970, OUT, F2
18137.1816, 18137.18, -7.05, -3.29, 150.621, OUT, F2
17543.6113, 17543.61, 1.41, 5.64, 106.304, OUT, F0
17526.5625, 17526.56, 2.35, 4.23, 85.241, OUT, F1
17194.5352, 17194.54, -7.99, -3.76, 139.497, OUT, F0
17180.5293, 17180.53, 2.35, 6.11, 106.304, OUT, F0
16976.4492, 16976.45, 0.47, -0.94, 129.170, OUT, F2
16838.7461, 16838.75, 0.00, -5.64, 106.304, OUT, F0
16820.3906, 16820.39, 5.17, 3.29, 91.354, OUT, F1
16524.6172, 16524.62, 5.64, 2.82, 108.060, OUT, F1
16452.1641, 16452.16, 3.76, -4.70, 83.127, OUT, F0
15990.1592, 15990.16, -4.23, -4.70, 99.047, OUT, F2
15865.6797, 15865.68, 6.58, 1.88, 97.168, OUT, F1
15818.0059, 15818.01, 0.94, -5.17, 99.047, OUT, F2
15572.3096, 15572.31, -5.17, 4.23, 122.974, OUT, F1
15549.0977, 15549.10, 1.88, -5.64, 85.241, OUT, F1
15507.8896, 15507.89, 4.23, -4.23, 89.352, OUT, F0
15470.3848, 15470.38, -1.41, 4.23, 122.974, OUT, F1
15295.9287, 15295.93, -0.94, -5.64, 78.769, OUT, F1
15183.9609, 15183.96, 1.88, -5.64, 89.352, OUT, F0
15172.4326, 15172.43, 0.00, -5.17, 99.047, OUT, F2
15030.0723, 15030.07, 4.70, -3.29, 100.899, OUT, F0
14980.1094, 14980.11, -7.52, -0.47, 108.060, OUT, F1
14970.3125, 14970.31, 4.23, 3.76, 99.047, OUT, F2
14933.5332, 14933.53, 0.00, 5.64, 85.241, OUT, F1
14888.3613, 14888.36, 4.23, -5.17, 80.970, OUT, F2
14823.4609, 14823.46, -2.35, 2.35, 127.643, OUT, F1
14746.2012, 14746.20, -0.47, 5.17, 87.315, OUT, F2
