, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
0.000, 48.697, 48.721, 49.763, 49.158, 49.158, 49.158, 48.367, 49.560, 49.518, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 47.486, 47.941, 48.062, 48.130, 48.130, 48.130, 48.041, 48.151, 48.711, 45.259, 45.784, 45.792, 46.069, 46.069, 46.069, 46.089, 46.238, 46.734, 36.727, 36.698, 38.829, 37.801, 37.801, 37.801, 36.789, 38.714, 38.730, 17.479, 17.433, 20.607, 18.037, 18.037, 18.037, 15.567, 18.590, 18.559, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.100, 47.493, 47.571, 48.919, 48.020, 48.020, 48.020, 47.019, 48.505, 48.517, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 46.396, 46.957, 46.925, 47.218, 47.218, 47.218, 47.114, 47.318, 47.884, 44.086, 44.643, 44.684, 44.939, 44.939, 44.939, 45.113, 45.131, 45.704, 34.829, 34.794, 36.938, 36.045, 36.045, 36.045, 35.038, 37.102, 37.086, 15.183, 15.037, 17.988, 15.614, 15.614, 15.614, 13.328, 16.156, 16.024, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.200, 46.780, 46.852, 48.295, 47.289, 47.289, 47.289, 46.246, 47.858, 47.936, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.678, 46.202, 46.312, 46.527, 46.527, 46.527, 46.511, 46.731, 47.376, 43.388, 43.878, 44.090, 44.239, 44.239, 44.239, 44.435, 44.492, 45.026, 33.795, 33.815, 35.731, 34.971, 34.971, 34.971, 34.060, 36.142, 36.097, 14.111, 13.944, 16.830, 14.476, 14.476, 14.476, 12.230, 15.000, 14.879, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.300, 46.276, 46.396, 47.828, 46.804, 46.804, 46.804, 45.707, 47.367, 47.475, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 45.123, 45.678, 45.909, 46.056, 46.056, 46.056, 46.061, 46.239, 46.878, 42.900, 43.388, 43.709, 43.796, 43.796, 43.796, 43.926, 44.035, 44.548, 33.051, 33.092, 34.882, 34.136, 34.136, 34.136, 33.295, 35.379, 35.341, 13.357, 13.187, 16.060, 13.734, 13.734, 13.734, 11.493, 14.246, 14.145, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.400, 45.821, 45.935, 47.427, 46.372, 46.372, 46.372, 45.336, 46.947, 47.085, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.746, 45.270, 45.616, 45.684, 45.684, 45.684, 45.684, 45.914, 46.506, 42.525, 43.009, 43.390, 43.415, 43.415, 43.415, 43.526, 43.711, 44.202, 32.443, 32.512, 34.241, 33.510, 33.510, 33.510, 32.702, 34.748, 34.713, 12.799, 12.622, 15.464, 13.156, 13.156, 13.156, 10.916, 13.699, 13.591, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.500, 45.504, 45.587, 47.049, 46.007, 46.007, 46.007, 44.970, 46.552, 46.702, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.432, 44.966, 45.338, 45.380, 45.380, 45.380, 45.437, 45.652, 46.249, 42.201, 42.718, 43.112, 43.139, 43.139, 43.139, 43.242, 43.456, 43.924, 31.925, 32.026, 33.677, 32.979, 32.979, 32.979, 32.202, 34.188, 34.157, 12.324, 12.168, 14.991, 12.702, 12.702, 12.702, 10.446, 13.227, 13.135, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.600, 45.168, 45.270, 46.756, 45.701, 45.701, 45.701, 44.653, 46.258, 46.402, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.191, 44.699, 45.107, 45.118, 45.118, 45.118, 45.181, 45.427, 46.003, 41.923, 42.461, 42.875, 42.908, 42.908, 42.908, 42.976, 43.229, 43.683, 31.500, 31.634, 33.194, 32.539, 32.539, 32.539, 31.773, 33.700, 33.683, 11.935, 11.793, 14.590, 12.311, 12.311, 12.311, 10.064, 12.847, 12.752, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.700, 44.886, 44.988, 46.486, 45.438, 45.438, 45.438, 44.353, 45.917, 46.097, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.976, 44.468, 44.893, 44.914, 44.914, 44.914, 44.961, 45.217, 45.804, 41.669, 42.226, 42.646, 42.693, 42.693, 42.693, 42.735, 43.015, 43.501, 31.156, 31.310, 32.770, 32.172, 32.172, 32.172, 31.393, 33.280, 33.278, 11.606, 11.453, 14.233, 11.983, 11.983, 11.983, 9.745, 12.513, 12.426, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.800, 44.635, 44.767, 46.234, 45.138, 45.138, 45.138, 44.102, 45.671, 45.881, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.793, 44.259, 44.673, 44.709, 44.709, 44.709, 44.798, 45.039, 45.605, 41.451, 42.026, 42.409, 42.506, 42.506, 42.506, 42.555, 42.834, 43.328, 30.849, 31.020, 32.415, 31.833, 31.833, 31.833, 31.061, 32.912, 32.909, 11.292, 11.151, 13.924, 11.666, 11.666, 11.666, 9.455, 12.199, 12.131, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.900, 44.395, 44.497, 46.037, 44.946, 44.946, 44.946, 43.838, 45.456, 45.641, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.599, 44.096, 44.468, 44.552, 44.552, 44.552, 44.641, 44.877, 45.427, 41.249, 41.853, 42.187, 42.310, 42.310, 42.310, 42.384, 42.652, 43.180, 30.570, 30.744, 32.099, 31.515, 31.515, 31.515, 30.755, 32.571, 32.586, 11.017, 10.888, 13.621, 11.398, 11.398, 11.398, 9.201, 11.919, 11.856, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
