Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.100, 100.000, 100.000, 48.059, 15.357, 45.773, 35.010, 43.446
0.200, 100.000, 100.000, 47.035, 13.168, 44.699, 32.890, 42.374
0.300, 100.000, 100.000, 46.350, 12.094, 43.981, 31.725, 41.676
0.400, 100.000, 100.000, 45.868, 11.370, 43.373, 30.927, 41.121
0.500, 100.000, 100.000, 45.403, 10.808, 42.991, 30.337, 40.701
0.600, 100.000, 100.000, 45.111, 10.338, 42.651, 29.878, 40.355
0.700, 100.000, 100.000, 44.784, 9.952, 42.352, 29.493, 40.062
0.800, 100.000, 100.000, 44.510, 9.621, 42.080, 29.166, 39.815
0.900, 100.000, 100.000, 44.236, 9.326, 41.828, 28.866, 39.578
1.000, 100.000, 100.000, 43.998, 9.064, 41.629, 28.588, 39.366
1.100, 100.000, 100.000, 43.742, 8.816, 41.399, 28.334, 39.156
1.200, 100.000, 100.000, 43.521, 8.596, 41.231, 28.104, 38.976
1.300, 100.000, 100.000, 43.325, 8.402, 41.027, 27.878, 38.797
1.400, 100.000, 100.000, 43.140, 8.221, 40.896, 27.672, 38.655
1.500, 100.000, 100.000, 42.908, 8.046, 40.686, 27.483, 38.500
1.600, 100.000, 100.000, 42.747, 7.889, 40.550, 27.313, 38.391
1.700, 100.000, 100.000, 42.509, 7.748, 40.393, 27.154, 38.235
1.800, 100.000, 100.000, 42.348, 7.606, 40.251, 27.018, 38.127
1.900, 100.000, 100.000, 42.200, 7.480, 40.120, 26.891, 38.022
2.000, 100.000, 100.000, 41.985, 7.357, 39.974, 26.771, 37.905
2.100, 100.000, 100.000, 41.801, 7.234, 39.838, 26.649, 37.761
2.200, 100.000, 100.000, 41.658, 7.122, 39.728, 26.533, 37.666
2.300, 100.000, 100.000, 41.497, 7.017, 39.586, 26.415, 37.571
2.400, 100.000, 100.000, 41.324, 6.915, 39.460, 26.304, 37.478
2.500, 100.000, 100.000, 41.134, 6.817, 39.377, 26.193, 37.369
2.600, 100.000, 100.000, 41.009, 6.726, 39.235, 26.083, 37.252
2.700, 100.000, 100.000, 40.872, 6.630, 39.146, 25.975, 37.169
2.800, 100.000, 100.000, 40.735, 6.548, 39.047, 25.877, 37.091
2.900, 100.000, 100.000, 40.598, 6.458, 38.963, 25.786, 37.017
3.000, 100.000, 100.000, 40.455, 6.386, 38.863, 25.694, 36.920
3.100, 100.000, 100.000, 40.312, 6.303, 38.785, 25.603, 36.827
3.200, 100.000, 100.000, 40.151, 6.225, 38.690, 25.515, 36.749
3.300, 100.000, 100.000, 40.002, 6.144, 38.622, 25.432, 36.673
3.400, 100.000, 100.000, 39.842, 6.070, 38.528, 25.348, 36.601
3.500, 100.000, 100.000, 39.705, 6.009, 38.444, 25.274, 36.533
3.600, 100.000, 100.000, 39.592, 5.940, 38.381, 25.199, 36.475
3.700, 100.000, 100.000, 39.443, 5.873, 38.298, 25.119, 36.403
3.800, 100.000, 100.000, 39.341, 5.808, 38.219, 25.045, 36.312
3.900, 100.000, 100.000, 39.258, 5.750, 38.140, 24.973, 36.232
4.000, 100.000, 100.000, 39.151, 5.681, 38.078, 24.905, 36.172
4.100, 100.000, 100.000, 39.014, 5.623, 37.988, 24.841, 36.116
4.200, 100.000, 100.000, 38.859, 5.561, 37.931, 24.777, 36.059
4.300, 100.000, 100.000, 38.710, 5.501, 37.863, 24.719, 36.015
4.400, 100.000, 100.000, 38.609, 5.444, 37.805, 24.659, 35.947
4.500, 100.000, 100.000, 38.484, 5.389, 37.737, 24.598, 35.879
4.600, 100.000, 100.000, 38.383, 5.340, 37.664, 24.543, 35.820
4.700, 100.000, 100.000, 38.299, 5.291, 37.575, 24.488, 35.756
4.800, 100.000, 100.000, 38.180, 5.245, 37.496, 24.433, 35.696
4.900, 100.000, 100.000, 38.109, 5.192, 37.454, 24.378, 35.657
5.000, 100.000, 100.000, 37.996, 5.139, 37.402, 24.327, 35.603
5.100, 100.000, 100.000, 37.889, 5.083, 37.355, 24.277, 35.552
5.200, 100.000, 100.000, 37.775, 5.032, 37.297, 24.224, 35.496
5.300, 100.000, 100.000, 37.662, 4.991, 37.229, 24.174, 35.434
5.400, 100.000, 100.000, 37.555, 4.939, 37.192, 24.125, 35.383
5.500, 100.000, 100.000, 37.365, 4.888, 37.135, 24.077, 35.342
5.600, 100.000, 100.000, 37.311, 4.852, 37.061, 24.031, 35.282
5.700, 100.000, 100.000, 37.210, 4.802, 37.009, 23.984, 35.237
5.800, 100.000, 100.000, 37.103, 4.751, 36.946, 23.939, 35.193
5.900, 100.000, 100.000, 37.019, 4.705, 36.899, 23.890, 35.129
6.000, 100.000, 100.000, 36.948, 4.670, 36.852, 23.847, 35.082
6.100, 100.000, 100.000, 36.852, 4.625, 36.789, 23.801, 35.049
6.200, 100.000, 100.000, 36.769, 4.584, 36.747, 23.756, 35.006
6.300, 100.000, 100.000, 36.632, 4.545, 36.705, 23.714, 34.971
6.400, 100.000, 100.000, 36.567, 4.502, 36.663, 23.671, 34.911
6.500, 100.000, 100.000, 36.495, 4.467, 36.595, 23.624, 34.851
6.600, 100.000, 100.000, 36.376, 4.429, 36.522, 23.577, 34.802
6.700, 100.000, 100.000, 36.245, 4.390, 36.469, 23.532, 34.756
6.800, 100.000, 100.000, 36.186, 4.355, 36.422, 23.486, 34.713
6.900, 100.000, 100.000, 36.108, 4.319, 36.370, 23.442, 34.666
7.000, 100.000, 100.000, 36.019, 4.284, 36.328, 23.394, 34.635
7.100, 100.000, 100.000, 35.918, 4.252, 36.276, 23.348, 34.590
7.200, 100.000, 100.000, 35.864, 4.223, 36.228, 23.298, 34.550
7.300, 100.000, 100.000, 35.757, 4.186, 36.197, 23.248, 34.509
7.400, 100.000, 100.000, 35.715, 4.153, 36.155, 23.198, 34.474
