Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.100, 100.000, 100.000, 47.291, 14.840, 44.615, 34.488, 42.520
0.200, 100.000, 100.000, 46.100, 12.677, 43.342, 32.445, 41.280
0.300, 100.000, 100.000, 45.385, 11.596, 42.624, 31.298, 40.567
0.400, 100.000, 100.000, 44.808, 10.882, 42.122, 30.523, 40.060
0.500, 100.000, 100.000, 44.337, 10.322, 41.650, 29.947, 39.615
0.600, 100.000, 100.000, 43.950, 9.871, 41.273, 29.448, 39.246
0.700, 100.000, 100.000, 43.611, 9.497, 40.974, 29.048, 38.945
0.800, 100.000, 100.000, 43.325, 9.170, 40.686, 28.706, 38.676
0.900, 100.000, 100.000, 43.027, 8.880, 40.424, 28.412, 38.420
1.000, 100.000, 100.000, 42.789, 8.630, 40.168, 28.150, 38.202
1.100, 100.000, 100.000, 42.497, 8.408, 39.942, 27.911, 37.973
1.200, 100.000, 100.000, 42.277, 8.205, 39.743, 27.694, 37.796
1.300, 100.000, 100.000, 42.063, 8.001, 39.508, 27.491, 37.598
1.400, 100.000, 100.000, 41.807, 7.836, 39.329, 27.312, 37.425
1.500, 100.000, 100.000, 41.592, 7.661, 39.172, 27.144, 37.295
1.600, 100.000, 100.000, 41.372, 7.516, 38.999, 26.980, 37.145
1.700, 100.000, 100.000, 41.193, 7.354, 38.827, 26.828, 37.000
1.800, 100.000, 100.000, 41.021, 7.236, 38.675, 26.688, 36.877
1.900, 100.000, 100.000, 40.848, 7.100, 38.544, 26.549, 36.751
2.000, 100.000, 100.000, 40.663, 6.974, 38.418, 26.418, 36.636
2.100, 100.000, 100.000, 40.491, 6.860, 38.256, 26.295, 36.506
2.200, 100.000, 100.000, 40.336, 6.748, 38.167, 26.176, 36.423
2.300, 100.000, 100.000, 40.139, 6.643, 38.062, 26.062, 36.320
2.400, 100.000, 100.000, 39.943, 6.537, 37.968, 25.953, 36.209
2.500, 100.000, 100.000, 39.806, 6.437, 37.873, 25.853, 36.120
2.600, 100.000, 100.000, 39.675, 6.354, 37.763, 25.756, 36.028
2.700, 100.000, 100.000, 39.496, 6.260, 37.674, 25.662, 35.935
2.800, 100.000, 100.000, 39.371, 6.171, 37.596, 25.574, 35.859
2.900, 100.000, 100.000, 39.228, 6.092, 37.512, 25.492, 35.781
3.000, 100.000, 100.000, 39.073, 6.010, 37.407, 25.408, 35.690
3.100, 100.000, 100.000, 38.889, 5.936, 37.292, 25.329, 35.601
3.200, 100.000, 100.000, 38.782, 5.865, 37.197, 25.250, 35.509
3.300, 100.000, 100.000, 38.663, 5.780, 37.114, 25.174, 35.438
3.400, 100.000, 100.000, 38.573, 5.705, 37.035, 25.102, 35.370
3.500, 100.000, 100.000, 38.430, 5.636, 36.941, 25.032, 35.276
