, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 96.862, 96.954, 96.968, 96.845, 96.845, 96.845, 96.562, 96.889, 96.771, 96.265, 96.205, 96.530, 96.050, 96.050, 96.050, 96.204, 96.369, 96.468, 96.301, 96.417, 96.562, 96.382, 96.382, 96.382, 96.369, 96.443, 96.420, 82.197, 82.092, 85.172, 82.494, 82.494, 82.494, 80.744, 82.851, 82.934, 93.962, 94.193, 94.041, 93.401, 93.401, 93.401, 93.019, 92.716, 93.004, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 94.539, 94.670, 94.921, 94.883, 94.883, 94.883, 93.990, 94.932, 94.898, 94.054, 93.972, 94.243, 94.012, 94.012, 94.012, 93.902, 94.213, 94.289, 94.131, 94.327, 94.464, 94.306, 94.306, 94.306, 94.178, 94.354, 94.525, 72.206, 71.940, 76.208, 72.635, 72.635, 72.635, 69.835, 73.300, 73.429, 90.670, 90.924, 90.879, 89.845, 89.845, 89.845, 88.951, 88.715, 89.066, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 92.603, 92.676, 93.155, 92.989, 92.989, 92.989, 92.034, 93.043, 93.039, 92.372, 92.449, 92.560, 92.419, 92.419, 92.419, 92.219, 92.700, 92.677, 92.405, 92.664, 92.832, 92.695, 92.695, 92.695, 92.607, 92.756, 92.830, 65.102, 65.226, 69.663, 65.730, 65.730, 65.730, 62.380, 66.668, 66.627, 88.296, 88.527, 88.552, 87.358, 87.358, 87.358, 86.373, 86.019, 86.427, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 90.792, 91.015, 91.633, 91.371, 91.371, 91.371, 90.412, 91.467, 91.479, 90.690, 90.977, 90.992, 90.980, 90.980, 90.980, 91.043, 91.150, 91.557, 90.935, 91.359, 91.478, 91.358, 91.358, 91.358, 91.409, 91.439, 91.724, 59.844, 60.060, 64.478, 60.494, 60.494, 60.494, 56.561, 61.498, 61.484, 86.428, 86.702, 86.699, 85.418, 85.418, 85.418, 84.331, 83.934, 84.437, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 89.188, 89.492, 90.272, 89.724, 89.724, 89.724, 88.777, 90.014, 90.095, 89.445, 89.803, 89.707, 89.833, 89.833, 89.833, 89.954, 89.939, 90.400, 89.760, 90.268, 90.277, 90.217, 90.217, 90.217, 90.263, 90.285, 90.694, 55.468, 55.602, 60.333, 56.202, 56.202, 56.202, 52.113, 57.072, 57.151, 84.841, 85.126, 85.196, 83.800, 83.800, 83.800, 82.691, 82.253, 82.772, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
3.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 87.695, 88.011, 88.628, 88.325, 88.325, 88.325, 87.407, 88.641, 88.752, 88.306, 88.744, 88.730, 88.725, 88.725, 88.725, 88.854, 88.906, 89.428, 88.695, 89.306, 89.267, 89.250, 89.250, 89.250, 89.239, 89.272, 89.824, 52.005, 51.780, 56.755, 52.485, 52.485, 52.485, 48.355, 53.478, 53.510, 83.403, 83.704, 83.850, 82.405, 82.405, 82.405, 81.282, 80.834, 81.371, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
3.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 86.092, 86.501, 87.268, 86.857, 86.857, 86.857, 86.080, 87.255, 87.354, 87.207, 87.724, 87.792, 87.756, 87.756, 87.756, 87.816, 87.885, 88.640, 87.662, 88.397, 88.359, 88.352, 88.352, 88.352, 88.372, 88.431, 88.989, 48.463, 48.504, 53.826, 49.412, 49.412, 49.412, 45.038, 50.440, 50.543, 82.164, 82.494, 82.673, 81.238, 81.238, 81.238, 80.049, 79.635, 80.207, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
4.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 84.944, 85.325, 85.691, 85.746, 85.746, 85.746, 84.864, 85.965, 86.242, 86.333, 86.808, 87.150, 86.763, 86.763, 86.763, 86.994, 86.939, 87.742, 86.809, 87.493, 87.588, 87.507, 87.507, 87.507, 87.631, 87.574, 88.190, 45.646, 45.729, 51.186, 46.399, 46.399, 46.399, 41.862, 47.501, 47.802, 81.051, 81.402, 81.625, 80.196, 80.196, 80.196, 78.910, 78.598, 79.173, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
4.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 83.672, 84.079, 84.667, 84.374, 84.374, 84.374, 83.522, 84.810, 85.020, 85.684, 85.878, 86.494, 85.909, 85.909, 85.909, 86.349, 86.208, 86.929, 86.017, 86.798, 86.993, 86.762, 86.762, 86.762, 86.937, 86.843, 87.524, 43.204, 43.194, 49.000, 43.777, 43.777, 43.777, 39.317, 45.036, 45.268, 80.044, 80.374, 80.672, 79.200, 79.200, 79.200, 77.911, 77.624, 78.190, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
