, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
0.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
0.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 96.254, 96.315, 96.506, 96.556, 96.556, 96.556, 96.464, 96.789, 96.695, 96.065, 96.089, 96.463, 96.251, 96.251, 96.251, 96.673, 96.495, 96.973, 96.117, 96.517, 96.504, 96.429, 96.429, 96.429, 96.547, 96.509, 96.866, 83.091, 83.230, 86.134, 83.540, 83.540, 83.540, 81.754, 83.901, 84.005, 94.457, 94.721, 94.594, 94.006, 94.006, 94.006, 93.713, 93.456, 93.716, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 93.414, 93.509, 94.075, 94.157, 94.157, 94.157, 93.909, 94.541, 94.447, 93.584, 93.956, 94.232, 93.949, 93.949, 93.949, 94.451, 94.317, 94.803, 93.793, 94.315, 94.190, 94.198, 94.198, 94.198, 94.351, 94.284, 94.793, 73.399, 73.622, 77.570, 73.881, 73.881, 73.881, 71.245, 74.563, 74.931, 91.372, 91.655, 91.553, 90.715, 90.715, 90.715, 90.092, 89.769, 90.191, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
1.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 91.136, 91.295, 91.976, 91.974, 91.974, 91.974, 91.713, 92.574, 92.481, 91.481, 92.140, 92.433, 92.263, 92.263, 92.263, 92.806, 92.627, 93.283, 91.965, 92.629, 92.468, 92.489, 92.489, 92.489, 92.695, 92.640, 93.236, 66.505, 66.763, 71.499, 67.140, 67.140, 67.140, 63.917, 68.109, 68.478, 89.118, 89.482, 89.450, 88.397, 88.397, 88.397, 87.602, 87.243, 87.772, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 89.256, 89.425, 90.182, 90.117, 90.117, 90.117, 89.834, 90.822, 90.835, 89.922, 90.743, 90.873, 90.854, 90.854, 90.854, 91.337, 91.163, 91.911, 90.507, 91.217, 91.138, 91.144, 91.144, 91.144, 91.314, 91.310, 91.847, 61.286, 61.821, 66.683, 62.095, 62.095, 62.095, 58.122, 62.886, 63.452, 87.412, 87.786, 87.828, 86.604, 86.604, 86.604, 85.741, 85.275, 85.876, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 87.349, 87.486, 88.375, 88.476, 88.476, 88.476, 88.108, 89.229, 89.136, 88.584, 89.448, 89.568, 89.558, 89.558, 89.558, 90.107, 89.961, 90.881, 89.227, 90.042, 90.029, 89.950, 89.950, 89.950, 90.109, 90.110, 90.812, 57.065, 57.612, 62.736, 58.019, 58.019, 58.019, 53.566, 58.896, 59.474, 85.942, 86.324, 86.419, 85.096, 85.096, 85.096, 84.211, 83.648, 84.351, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
3.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 85.757, 85.905, 86.688, 86.971, 86.971, 86.971, 86.298, 87.824, 87.798, 87.429, 88.317, 88.604, 88.338, 88.338, 88.338, 89.052, 88.822, 89.864, 88.189, 89.078, 89.081, 88.907, 88.907, 88.907, 89.091, 89.086, 89.859, 53.553, 54.040, 59.250, 54.518, 54.518, 54.518, 49.866, 55.455, 55.859, 84.639, 85.035, 85.122, 83.822, 83.822, 83.822, 82.917, 82.313, 83.043, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
3.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 84.289, 84.420, 85.320, 85.344, 85.344, 85.344, 84.972, 86.313, 86.393, 86.364, 87.378, 87.755, 87.483, 87.483, 87.483, 88.048, 87.871, 89.055, 87.275, 88.230, 88.228, 88.042, 88.042, 88.042, 88.188, 88.238, 89.022, 50.647, 51.078, 56.407, 51.547, 51.547, 51.547, 46.827, 52.510, 53.028, 83.479, 83.853, 83.980, 82.727, 82.727, 82.727, 81.747, 81.181, 81.920, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
4.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 82.986, 83.361, 83.911, 84.043, 84.043, 84.043, 83.425, 85.041, 85.055, 85.506, 86.527, 86.944, 86.652, 86.652, 86.652, 87.081, 87.145, 88.271, 86.463, 87.508, 87.401, 87.265, 87.265, 87.265, 87.362, 87.462, 88.236, 47.813, 48.316, 53.791, 48.781, 48.781, 48.781, 43.886, 49.816, 50.400, 82.402, 82.754, 82.949, 81.693, 81.693, 81.693, 80.668, 80.157, 80.875, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
4.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 81.655, 82.054, 82.530, 82.755, 82.755, 82.755, 82.210, 83.730, 83.958, 84.779, 85.816, 86.234, 85.935, 85.935, 85.935, 86.139, 86.494, 87.560, 85.737, 86.897, 86.647, 86.640, 86.640, 86.640, 86.625, 86.764, 87.598, 45.275, 45.942, 51.556, 46.288, 46.288, 46.288, 41.573, 47.482, 48.015, 81.377, 81.713, 81.991, 80.736, 80.736, 80.736, 79.714, 79.212, 79.922, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
